metric,lambda,F_dev_route,F_TIH_route,F_dev,F_TIH,A_frozen,O_TIH,delta_dev,delta_tih,kappa_dev,component_q025,component_q975,loo_min,loo_max
raw_ndcg_10,0.0,ce100,ce100,0.815562221646419,0.815562221646419,0.8146501257050518,0.8663745353398082,-0.000912095941367395,-0.000912095941367395,-0.017950293444048783,-0.0030530076200744345,0.0010480115082805578,-0.0011677995866855443,-0.000503074045063781
raw_ndcg_10,0.02,ce100,ce100,0.8090655714627286,0.8090655714627286,0.8101250929463406,0.86488555701582,0.0010595214836121504,0.0010595214836121504,0.018981041881575192,-0.000979654847534596,0.0029548191422554713,0.0008066036088131241,0.0014392329652760567
raw_ndcg_10,0.04,ce100,ce100,0.802568921279038,0.802568921279038,0.8063162220501808,0.863403369470535,0.0037473007711428547,0.0037473007711428547,0.0615983358531824,0.0018507623285809044,0.005508123279857228,0.003572769900446019,0.004051547041556467
raw_ndcg_10,0.08,ce100,ce100,0.7895756209116568,0.7895756209116568,0.8007169930518335,0.8604735497280008,0.011141372140176757,0.011141372140176757,0.15714665190061725,0.009221153892616593,0.012845830727845727,0.01101641297419894,0.011546080739646249
raw_ndcg_10,0.16,ce20,ce20,0.7724650977961716,0.7724650977961716,0.7910195020823156,0.8547699115325433,0.01855440428614413,0.01855440428614413,0.2254352260072566,0.014479572106455025,0.02277827227072728,0.018057575640180543,0.01872446756710915
complete_set_recall_10,0.0,ce100,ce100,0.8938643864386439,0.8938643864386439,0.8912391239123912,0.918991899189919,-0.0026252625262526254,-0.0026252625262526254,-0.10447761194029856,-0.0053378853094778736,-7.640661099501454e-05,-0.0029294674378427103,-0.002107164358819988
complete_set_recall_10,0.02,ce100,ce100,0.8873677362549532,0.8873677362549532,0.8859570609388481,0.9184137412136572,-0.0014106753161052619,-0.0014106753161052619,-0.045438223629149156,-0.004182550952563941,0.0012030264415816784,-0.0017131748728662869,-0.0009620222208569302
complete_set_recall_10,0.04,ce100,ce100,0.8808710860712626,0.8808710860712626,0.8810117547024412,0.9178355832373952,0.00014066863117847048,0.00014066863117847048,0.003805506417313127,-0.002536009453091532,0.0027295987151759555,-9.540123046694288e-05,0.0004421081339417088
complete_set_recall_10,0.08,ce100,ce100,0.8678777857038816,0.8678777857038816,0.8746841480050495,0.9166792672848717,0.006806362301167877,0.006806362301167877,0.13947040296045438,0.004176144138182044,0.009383280944251518,0.006565833458987084,0.007244709644902078
complete_set_recall_10,0.16,ce100,ce100,0.8418911849691193,0.8418911849691193,0.8632356247813577,0.9143666353798243,0.021344439812238488,0.021344439812238488,0.29450579046123176,0.01827781754646556,0.024449079076309894,0.02101721474547795,0.021850111490358655
