policy,menu,fixed_utility,matched_null_utility,learned_utility,route_mix_effect,query_alignment_effect,net_effect,arithmetic_residual
et_all_archived,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.7691607181764355,0.8007169930518335,-0.020414902735221285,0.03155627487539803,0.011141372140176742,0.0
et_score_shape,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.780398046070804,0.7995620913864937,-0.009177574840852798,0.019164045315689715,0.009986470474836917,0.0
qpp_gate,bm25/ce20/ce100,0.7895756209116568,0.7637024097526249,0.7951627142692856,-0.02587321115903185,0.03146030451666071,0.005587093357628858,0.0
et_query_form,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.7871932310071066,0.7916149245991506,-0.0023823899045501973,0.004421693592044029,0.002039303687493832,0.0
arr3_seed20260811,bm25/ce20/ce100,0.7895756209116568,0.7470339352786582,0.7689162796693039,-0.04254168563299854,0.021882344390645625,-0.020659341242352913,0.0
arr3_seed20260808,bm25/ce20/ce100,0.7895756209116568,0.7365226022617802,0.7590215584590089,-0.05305301864987655,0.022498956197228637,-0.030554062452647912,0.0
arr3_seed20260807,bm25/ce20/ce100,0.7895756209116568,0.7292296473379867,0.7495129977642868,-0.06034597357367011,0.02028335042630014,-0.04006262314736997,0.0
arr3_seed20260809,bm25/ce20/ce100,0.7895756209116568,0.7261872843108448,0.7485334152430834,-0.063388336600812,0.022346130932238584,-0.04104220566857342,0.0
arr5_seed20260810,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.7122440258793281,0.7398398410351716,-0.07733159503232867,0.02759581515584353,-0.04973577987648514,0.0
arr5_seed20260807,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.7059593535353066,0.731409983773627,-0.0836162673763502,0.025450630238320393,-0.0581656371380298,0.0
arr5_seed20260809,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.7067100870674534,0.7305017428953257,-0.08286553384420337,0.023791655827872238,-0.05907387801633113,0.0
arr3_seed20260810,bm25/ce20/ce100,0.7895756209116568,0.7098142031500629,0.7293561548029874,-0.07976141776159384,0.019541951652924494,-0.06021946610866935,0.0
arr5_seed20260808,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.6965573454545922,0.7272602986894988,-0.09301827545706454,0.03070295323490657,-0.062315322222157965,0.0
arr5_seed20260811,bm25/bi200/ce20/ce100/hybrid,0.7895756209116568,0.6896500006052215,0.7176199491266635,-0.09992562030643526,0.027969948521441967,-0.07195567178499329,0.0
